-0.430627,  2.351150
-0.430804,  3.666179
-0.430993,  3.957811
-0.443885,  4.166656
-0.452587,  4.256930
-0.585292,  4.488205
-0.960748,  5.084958
-1.965512,  4.826488
-4.500362,  2.734579
-4.906639,  2.180208
-5.002197,  1.937833
-5.355041,  0.156372
-4.984452, -1.498692
-4.687605, -2.396114
-3.654939, -3.756802
-2.085112, -4.765784
-0.501446, -4.898281
-0.433055, -4.661588
-0.430838, -3.364284
-0.430682, -2.949706
-0.430602, -2.396771
-0.430601, -2.026009
-0.430599, -0.915358
-0.430598,  0.100260
-0.430598, -0.417590
-0.430598, -0.538721
-0.430597, -0.681311
-0.430595, -1.031511
-0.430589, -1.539641
-0.430583, -1.994172
-0.430574, -2.215625
-0.430554, -2.513131
-0.430452, -2.931622
-0.430242, -3.305794
-0.429924, -3.540444
-0.428833, -3.951215
-0.408396, -4.196153
-0.373879, -4.362153
-0.239329, -4.875519
 0.044274, -4.753064
 0.303425, -4.470932
 0.419060, -4.116106
 0.427951, -3.973069
 0.429886, -3.544511
 0.430452, -2.637090
 0.430460, -2.021780
 0.430462, -1.072644
 0.430462,  0.178516
 0.430461,  1.416921
 0.430442,  2.435851
 0.430414,  3.201361
 0.429839,  3.554400
 0.428171,  3.807083
 0.413257,  3.993444
 0.398925,  4.136303
 0.345408,  4.498055
 0.333576,  4.557091
 0.064777,  4.749901
-0.311713,  4.771590
-0.425081,  4.378222
-0.430079,  3.653563
-0.430575,  2.934603
-0.430597,  2.063963
